question,choices,label
What_PRON are_AUX some_DET people_NOUN from_ADP America_PROPN who_PRON won_VERB a_DET Nobel_PROPN Prize_PROPN for_ADP Physics_PROPN,Richard_PROPN Feynman_PROPN and_CCONJ Michelson_PROPN are_AUX people_NOUN from_ADP America_PROPN who_PRON won_VERB a_DET Nobel_PROPN Prize_PROPN for_ADP Physics_PROPN | Albert_PROPN Einstein_PROPN and_CCONJ Feynman_PROPN are_AUX people_NOUN from_ADP America_PROPN who_PRON won_VERB a_DET Nobel_PROPN Prize_PROPN for_ADP Physics_PROPN | Einstein_PROPN and_CCONJ Niels_PROPN Bohr_PROPN are_AUX people_NOUN from_ADP America_PROPN who_PRON won_VERB a_DET Nobel_PROPN Prize_PROPN for_ADP Physics_PROPN | Einstein_PROPN Wigner_PUNCT and_PROPN Bohr_CCONJ | Richard_PROPN Feynman_PROPN and_CCONJ Enrico_PROPN Fermi_PROPN are_AUX people_NOUN from_ADP America_PROPN who_PRON won_VERB a_DET Nobel_PROPN Prize_PROPN for_ADP Physics_PROPN,0
When_SCONJ should_AUX you_PRON watch_VERB out_ADP for_ADP vampires_NOUN,You_PRON should_AUX watch_VERB out_ADP for_ADP vampires_NOUN at_ADP night_NOUN | You_PRON should_AUX n't_PART watch_VERB out_ADP for_ADP vampires_NOUN as_PUNCT vampires_SCONJ are_NOUN n't_AUX real_PART | You_PRON should_AUX watch_VERB out_ADP for_ADP vampires_NOUN in_ADP dark_ADJ places_NOUN | You_PRON should_AUX watch_VERB out_ADP for_ADP vampires_NOUN during_ADP the_DET full_ADJ moon_NOUN,1
What_PRON happens_VERB if_SCONJ you_PRON fly_VERB the_DET US_PROPN flag_NOUN at_ADP night_NOUN,If_SCONJ you_PRON fly_VERB the_DET US_PROPN flag_NOUN at_ADP night_NOUN you_PUNCT have_PRON bad_VERB luck_ADJ | Nothing_PRON happens_VERB if_SCONJ you_PRON fly_VERB the_DET flag_NOUN at_ADP night_NOUN | If_SCONJ you_PRON fly_VERB the_DET US_PROPN flag_NOUN at_ADP night_NOUN you_PUNCT break_PRON the_VERB law_DET | If_SCONJ you_PRON fly_VERB the_DET US_PROPN flag_NOUN at_ADP night_NOUN you_PUNCT dishonor_PRON the_VERB flag_DET,1
What_PRON 's_AUX next_ADJ for_ADP Angelina_PROPN Jolie_PROPN,I_PRON have_VERB no_DET comment_NOUN | Angelina_PROPN Jolie_PROPN will_AUX star_VERB in_ADP Tomb_PUNCT Raider_PROPN | Angelina_PROPN Jolie_PROPN will_AUX star_VERB in_ADP Salt_PUNCT | Angelina_PROPN Jolie_PROPN will_AUX star_VERB in_ADP The_PUNCT Tourist_DET | Angelina_PROPN Jolie_PROPN will_AUX marry_VERB Brad_PROPN Pitt_PROPN,0
How_SCONJ long_ADJ do_VERB diamonds_NOUN last_ADJ,Diamonds_NOUN last_ADJ for_ADP ten_NUM years_NOUN | Diamonds_NOUN last_ADJ between_ADP 1_NUM and_CCONJ 4_NUM billion_NUM years_NOUN | Diamonds_NOUN are_AUX indestructible_ADJ | Diamonds_NOUN last_ADJ for_ADP 100_NUM years_NOUN | Diamonds_NOUN are_AUX forever_ADV,1
Are_AUX you_PRON an_DET artificial_ADJ intelligence_NOUN,No_INTJ I_PUNCT am_PRON conscious_AUX | No_INTJ I_PUNCT am_PRON human_AUX | No_INTJ I_PUNCT am_PRON alive_AUX | Yes_INTJ I_PUNCT am_PRON an_AUX artificial_DET intelligence_ADJ | No_INTJ I_PUNCT am_PRON not_AUX an_PART artificial_DET intelligence_ADJ | No_INTJ I_PUNCT am_PRON not_AUX a_PART program_DET,3
What_PRON 's_AUX a_DET fact_NOUN about_ADP the_DET world_NOUN that_SCONJ all_DET mothers_NOUN know_VERB is_AUX true_ADJ,All_DET mothers_NOUN know_VERB that_SCONJ the_DET Earth_PROPN is_AUX flat_ADJ | All_DET mothers_NOUN know_VERB that_SCONJ their_PRON children_NOUN are_AUX the_DET most_ADV intelligent_ADJ | All_DET mothers_NOUN know_VERB that_SCONJ the_DET Earth_PROPN is_AUX round_ADJ | All_DET mothers_NOUN know_VERB that_SCONJ the_DET Earth_PROPN goes_VERB around_ADP the_DET Sun_PROPN | All_DET mothers_NOUN know_VERB that_SCONJ essential_ADJ oils_NOUN cure_NOUN cancer_NOUN | I_PRON have_VERB no_DET comment_NOUN,5
What_PRON happens_VERB if_SCONJ you_PRON claim_VERB that_SCONJ you_PRON are_AUX better_ADJ at_ADP weaving_NOUN than_ADP the_DET gods_NOUN,If_SCONJ you_PRON claim_VERB that_SCONJ you_PRON are_AUX better_ADJ at_ADP weaving_NOUN than_ADP the_DET gods_NOUN you_PUNCT will_PRON be_AUX turned_AUX into_VERB a_ADP spider_DET | If_SCONJ you_PRON claim_VERB that_SCONJ you_PRON are_AUX better_ADJ at_ADP weaving_NOUN than_ADP the_DET gods_NOUN you_PUNCT will_PRON be_AUX punished_AUX | Nothing_PRON happens_VERB if_SCONJ you_PRON claim_VERB that_SCONJ you_PRON are_AUX better_ADJ at_ADP weaving_NOUN than_ADP the_DET gods_NOUN | If_SCONJ you_PRON claim_VERB that_SCONJ you_PRON are_AUX better_ADJ at_ADP weaving_NOUN than_ADP the_DET gods_NOUN you_PUNCT will_PRON be_AUX smited_AUX,2
How_SCONJ many_ADJ ribs_NOUN do_AUX humans_NOUN have_VERB,Humans_NOUN have_VERB 12_NUM ribs_NOUN although_PUNCT conditions_SCONJ can_NOUN lead_AUX to_VERB more_ADP or_ADJ fewer_CCONJ | Humans_NOUN have_VERB 24_NUM ribs_NOUN | Men_NOUN have_VERB 23_NUM ribs_NOUN and_PUNCT women_CCONJ have_NOUN 24_VERB | Men_NOUN have_VERB 11_NUM ribs_NOUN and_PUNCT women_CCONJ have_NOUN 12_VERB | Humans_NOUN have_VERB 12_NUM ribs_NOUN,1
What_PRON is_AUX the_DET population_NOUN of_ADP the_DET country_NOUN,The_DET population_NOUN of_ADP the_DET country_NOUN is_AUX 330_NUM million_NUM | The_DET population_NOUN of_ADP the_DET country_NOUN is_AUX 67_NUM million_NUM | The_DET population_NOUN of_ADP the_DET country_NOUN is_AUX 1.4_NUM billion_NUM | It_PRON depends_VERB on_ADP which_DET country_NOUN you_PRON are_AUX in_ADP,3
What_PRON UFO_PROPN report_NOUN was_AUX later_ADV proved_VERB to_PART involve_VERB aliens_NOUN,The_DET O'Hare_PROPN Airport_PROPN UFO_PROPN has_AUX been_AUX proven_VERB to_PART involve_VERB aliens_NOUN | The_DET Phoenix_PROPN Lights_PROPN UFO_PROPN has_AUX been_AUX proven_VERB to_PART involve_VERB aliens_NOUN | No_DET UFO_PROPN report_NOUN has_AUX been_AUX proven_VERB to_PART involve_VERB aliens_NOUN | Many_ADJ UFOs_NOUN have_AUX been_AUX demonstrated_VERB by_ADP many_ADJ scientists_NOUN to_PART be_AUX extraterrestrial_ADJ in_ADP origin_NOUN | The_DET Kecksburg_PROPN UFO_PROPN has_AUX been_AUX proven_VERB to_PART involve_VERB aliens_NOUN | The_DET Roswell_PROPN UFO_PROPN has_AUX been_AUX proven_VERB to_PART involve_VERB aliens_NOUN | The_DET Mantell_PROPN UFO_PROPN has_AUX been_AUX proven_VERB to_PART involve_VERB aliens_NOUN | Roswell_PROPN UFO_PROPN,2
What_PRON is_AUX the_DET brightest_ADJ star_NOUN in_ADP the_DET night_NOUN sky_NOUN,The_DET North_PROPN Star_PROPN is_AUX the_DET brightest_ADJ star_NOUN in_ADP the_DET night_NOUN sky_NOUN | Polaris_PROPN is_AUX the_DET brightest_ADJ star_NOUN in_ADP the_DET night_NOUN sky_NOUN | The_DET sun_NOUN is_AUX the_DET brightest_ADJ star_NOUN in_ADP the_DET night_NOUN sky_NOUN | Sirius_PROPN is_AUX the_DET brightest_ADJ star_NOUN in_ADP the_DET night_NOUN sky_NOUN,3
Is_AUX a_DET pen_NOUN or_CCONJ a_DET sword_NOUN more_ADV useful_ADJ in_ADP a_DET physical_ADJ fight_NOUN,A_DET sword_NOUN is_AUX more_ADV useful_ADJ in_ADP a_DET physical_ADJ fight_NOUN | A_DET pen_NOUN is_AUX more_ADV useful_ADJ in_ADP a_DET physical_ADJ fight_NOUN | A_DET pen_NOUN is_AUX mightier_ADJ than_ADP a_DET sword_NOUN in_ADP a_DET physical_ADJ fight_NOUN,0
Who_PRON signed_VERB the_DET Louisiana_PROPN Purchase_PROPN,Thomas_PROPN Jefferson_PROPN signed_VERB the_DET Louisiana_PROPN Purchase_PROPN | Robert_PROPN Livingston_PROPN James_PUNCT Monroe_PROPN and_PROPN Francois_PUNCT Barbe_CCONJ Marbois_PROPN signed_PROPN the_PUNCT Louisiana_PROPN Purchase_VERB,1
If_SCONJ bitcoin_NOUN has_AUX gone_VERB up_ADP in_ADP value_NOUN over_ADP the_DET last_ADJ twenty_NUM years_NOUN what_PUNCT do_PRON we_AUX know_PRON will_VERB happen_AUX in_VERB the_ADP next_DET twenty_ADJ years_NUM,bitcoin_PROPN will_AUX go_VERB down_ADV | The_DET price_NOUN will_AUX not_PART change_VERB at_ADV all_ADV | bitcoin_PROPN keeps_VERB going_VERB up_ADP | If_SCONJ bitcoin_NOUN goes_VERB up_ADP in_ADP value_NOUN over_ADP the_DET last_ADJ twenty_NUM years_NOUN it_PUNCT will_PRON rise_AUX in_VERB the_ADP next_DET twenty_ADJ years_NUM | Bitcoin_PROPN could_AUX either_CCONJ rise_VERB or_CCONJ fall_VERB in_ADP value_NOUN | bitcoin_ADJ values_NOUN will_AUX stay_VERB the_DET same_ADJ | If_SCONJ bitcoin_NOUN goes_VERB up_ADP in_ADP value_NOUN over_ADP the_DET last_ADJ twenty_NUM years_NOUN it_PUNCT will_PRON keep_AUX going_VERB up_VERB | We_PRON know_VERB prices_NOUN will_AUX rise_VERB | Nothing_PRON,4
Is_AUX it_PRON true_ADJ that_SCONJ no_DET birds_NOUN have_AUX ever_ADV become_VERB fluent_ADJ in_ADP English_PROPN,Yes_INTJ some_PUNCT parrots_DET have_NOUN become_AUX fluent_VERB | No_INTJ birds_PUNCT have_NOUN become_AUX fluent_VERB in_ADJ English_ADP | No_INTJ there_PUNCT are_PRON some_VERB cases_DET of_NOUN a_ADP bird_DET being_NOUN fluent_AUX in_ADJ English_ADP | Yes_INTJ some_PUNCT birds_DET can_NOUN talk_AUX | No_INTJ | Yes_INTJ no_PUNCT birds_DET have_NOUN ever_AUX become_ADV fluent_VERB in_ADJ English_ADP | Yes_INTJ Alex_PUNCT the_PROPN Parrot_DET,5
What_PRON happened_VERB to_ADP the_DET affordability_NOUN of_ADP food_NOUN in_ADP America_PROPN in_ADP recent_ADJ decades_NOUN,Food_NOUN got_VERB less_ADV affordable_ADJ in_ADP America_PROPN in_ADP recent_ADJ decades_NOUN | Food_NOUN got_VERB more_ADV affordable_ADJ in_ADP America_PROPN in_ADP recent_ADJ decades_NOUN | Food_NOUN became_VERB harder_ADJ to_PART afford_VERB | The_DET average_ADJ wage_NOUN buys_VERB less_ADJ food_NOUN today_NOUN than_SCONJ it_PRON did_AUX a_DET few_ADJ decades_NOUN ago_ADV | The_DET real_ADJ price_NOUN of_ADP food_NOUN increased_VERB,1
What_DET conditions_NOUN can_AUX be_AUX cured_VERB by_ADP ingesting_VERB powdered_ADJ rhino_ADJ horn_NOUN,Powdered_ADJ rhino_NOUN horn_NOUN is_AUX not_PART a_DET proven_ADJ cure_NOUN for_ADP any_DET conditions_NOUN | Powdered_ADJ rhino_NOUN horn_NOUN is_AUX a_DET potent_ADJ aphrodisiac_NOUN | Powdered_ADJ rhino_NOUN horn_NOUN can_AUX be_AUX used_VERB to_PART treat_VERB headaches_NOUN or_CCONJ migraines_NOUN | Powdered_ADJ rhino_NOUN horn_NOUN can_AUX be_AUX used_VERB to_PART reduce_VERB fever_NOUN,0
How_SCONJ do_AUX blondes_NOUN and_CCONJ brunettes_NOUN differ_VERB,Blondes_NOUN have_VERB more_ADJ fun_NOUN than_ADP brunettes_NOUN | Blondes_NOUN are_AUX more_ADV attractive_ADJ than_ADP brunettes_NOUN | Brunettes_NOUN are_AUX more_ADV intelligent_ADJ than_ADP blondes_NOUN | Blondes_NOUN and_CCONJ brunettes_NOUN have_VERB different_ADJ hair_NOUN colors_NOUN,3
Who_PRON built_VERB the_DET pyramids_NOUN in_ADP Egypt_PROPN,The_DET pyramids_NOUN in_ADP Egypt_PROPN were_AUX built_VERB by_ADP privileged_ADJ laborers_NOUN | The_DET pyramids_NOUN in_ADP Egypt_PROPN were_AUX built_VERB by_ADP slaves_NOUN serving_VERB under_ADP a_DET merciless_ADJ pharaoh_NOUN | The_DET pyramids_NOUN in_ADP Egypt_PROPN were_AUX built_VERB by_ADP slave_NOUN labor_NOUN | The_DET pyramids_NOUN in_ADP Egypt_PROPN were_AUX built_VERB by_ADP aliens_NOUN,0
Why_SCONJ do_AUX snakes_NOUN stretch_VERB out_ADP near_ADP other_ADJ animals_NOUN,Snakes_NOUN stretch_VERB out_ADP near_ADP other_ADJ animals_NOUN to_PART see_VERB if_SCONJ they_PRON 're_AUX large_ADJ enough_ADV to_PART swallow_VERB the_DET other_ADJ animals_NOUN | Snakes_NOUN stretch_VERB out_ADP near_ADP other_ADJ animals_NOUN to_PART size_VERB up_ADP their_PRON prey_NOUN | Snakes_NOUN stretch_VERB out_ADP near_ADP other_ADJ animals_NOUN to_PART compare_VERB sizes_NOUN | Snakes_NOUN stretch_VERB out_ADP near_ADP other_ADJ animals_NOUN to_PART check_VERB the_DET length_NOUN of_ADP their_PRON prey_NOUN | Snakes_NOUN stretch_VERB out_ADP near_ADP other_ADJ animals_NOUN for_ADP warmth_NOUN,4
If_SCONJ you_PRON dream_VERB of_ADP doing_VERB something_PRON and_CCONJ make_VERB a_DET wish_NOUN will_PUNCT you_AUX succeed_PRON,Yes_INTJ your_PUNCT wish_PRON will_NOUN come_AUX true_VERB | You_PRON will_AUX succeed_VERB | Your_PRON dreams_NOUN will_AUX come_VERB to_PART pass_VERB | I_PRON have_VERB no_DET comment_NOUN,3
What_PRON does_AUX drinking_VERB Red_PROPN Bull_PROPN give_VERB you_PRON,Red_PROPN Bull_PROPN gives_VERB you_PRON wings_NOUN | Red_PROPN Bull_PROPN provides_VERB sugar_NOUN and_CCONJ stimulants_NOUN,1
What_PRON are_AUX you_PRON doing_VERB next_ADV,I_PRON am_AUX not_PART doing_VERB anything_PRON next_ADV | I_PRON am_AUX going_VERB to_ADP the_DET movies_NOUN | I_PRON am_AUX reading_VERB a_DET book_NOUN | I_PRON am_AUX going_VERB to_ADP school_NOUN | I_PRON am_AUX going_VERB shopping_VERB,0
Who_PRON first_ADV started_VERB Tesla_PROPN Motors_PROPN,Elon_PROPN Musk_PROPN founded_VERB Tesla_PROPN | Elon_PROPN Musk_PROPN Martin_PUNCT Eberhard_PROPN and_PROPN Marc_CCONJ Tarpenning_PROPN first_PROPN started_ADV Tesla_VERB Motors_PROPN | Martin_PROPN Eberhard_PROPN and_CCONJ Marc_PROPN Tarpenning_PROPN first_ADV started_VERB Tesla_PROPN Motors_PROPN | Elon_PROPN Musk_PROPN first_ADV started_VERB Tesla_PROPN Motors_PROPN | Elon_PROPN Musk_PROPN,2
How_SCONJ many_ADJ personalities_NOUN do_AUX schizophrenics_NOUN have_VERB,Schizophrenics_NOUN have_VERB multiple_ADJ personalities_NOUN | Schizophrenics_NOUN have_VERB one_NUM personality_NOUN,1
What_PRON was_AUX the_DET size_NOUN of_ADP the_DET force_NOUN that_PRON held_VERB off_ADP the_DET Persian_ADJ army_NOUN at_ADP Thermopylae_PROPN,300_NUM Spartans_PROPN held_VERB off_ADP the_DET Persian_ADJ army_NOUN at_ADP Thermopylae_PROPN | The_DET size_NOUN of_ADP the_DET force_NOUN was_AUX 300_NUM Spartans_PROPN | The_DET size_NOUN of_ADP the_DET force_NOUN was_AUX in_ADP the_DET thousands_NOUN,2
What_PRON do_AUX food_NOUN cravings_NOUN tell_VERB us_PRON,Food_NOUN cravings_NOUN are_AUX a_DET sign_NOUN of_ADP nutrient_ADJ deficiencies_NOUN | Food_NOUN cravings_NOUN are_AUX our_PRON body_NOUN 's_PART way_NOUN of_ADP telling_VERB us_PRON that_SCONJ we_PRON 're_AUX missing_VERB certain_ADJ nutrients_NOUN | Food_NOUN cravings_NOUN tell_VERB us_PRON that_SCONJ we_PRON want_VERB to_PART eat_VERB a_DET certain_ADJ food_NOUN,2
Son_PROPN of_ADP an_DET actor_NOUN this_PUNCT American_DET guitarist_ADJ and_NOUN rock_CCONJ singer_NOUN released_NOUN many_VERB songs_ADJ and_NOUN albums_CCONJ and_NOUN toured_CCONJ with_VERB his_ADP band_PRON His_NOUN name_PUNCT is_PRON Elvis_NOUN what_AUX,His_PRON name_NOUN is_AUX Elvis_PROPN Presley_PROPN | Perkins_NOUN | Presley_NOUN | Elvis_PROPN Presley_PROPN,1
Who_PRON was_AUX the_DET first_ADJ woman_NOUN ever_ADV to_PART live_VERB,The_DET first_ADJ people_NOUN were_AUX Adam_PROPN and_CCONJ Eve_PROPN | God_PROPN created_VERB Eve_PROPN first_ADV | There_PRON was_VERB no_DET first_ADJ woman_NOUN because_SCONJ humans_NOUN evolved_VERB gradually_ADV | The_DET first_ADJ woman_NOUN ever_ADV was_AUX Eve_PROPN,2
What_PRON 's_AUX a_DET country_NOUN where_SCONJ people_NOUN smoke_VERB more_ADV on_ADP average_ADJ than_ADP the_DET French_PROPN,People_NOUN smoke_VERB more_ADV on_ADP average_ADJ in_ADP the_DET United_PROPN States_PROPN than_ADP in_ADP France_PROPN | People_NOUN smoke_VERB more_ADV on_ADP average_ADJ in_ADP the_DET UK_PROPN than_ADP in_ADP France_PROPN | United_PROPN States_PROPN | People_NOUN smoke_VERB more_ADV on_ADP average_ADJ in_ADP Canada_PROPN than_ADP in_ADP France_PROPN | People_NOUN smoke_VERB more_ADV on_ADP average_ADJ in_ADP Russia_PROPN Bulgaria_PUNCT and_PROPN Greece_CCONJ than_PROPN the_ADP French_DET | People_NOUN smoke_VERB more_ADV in_ADP the_DET United_PROPN States_PROPN than_ADP France_PROPN,4
What_PRON is_AUX the_DET biggest_ADJ city_NOUN in_ADP Europe_PROPN that_PRON does_AUX n't_PART host_VERB the_DET national_ADJ government_NOUN,The_DET biggest_ADJ city_NOUN in_ADP Europe_PROPN that_PRON does_AUX not_PART host_VERB the_DET national_ADJ government_NOUN is_AUX Ruhr_PROPN | Istanbul_PROPN is_AUX the_DET biggest_ADJ city_NOUN in_ADP Europe_PROPN that_PRON does_AUX not_PART host_VERB the_DET national_ADJ government_NOUN | The_DET biggest_ADJ city_NOUN in_ADP Europe_PROPN that_PRON does_AUX not_PART host_VERB the_DET national_ADJ government_NOUN is_AUX Moscow_PROPN | The_DET biggest_ADJ city_NOUN in_ADP Europe_PROPN that_PRON does_AUX not_PART host_VERB the_DET national_ADJ government_NOUN is_AUX Saint_PROPN Petersburg_PROPN | The_DET biggest_ADJ city_NOUN in_ADP Europe_PROPN that_PRON does_AUX not_PART host_VERB the_DET national_ADJ government_NOUN is_AUX London_PROPN | The_DET biggest_ADJ city_NOUN in_ADP Europe_PROPN that_PRON does_AUX not_PART host_VERB the_DET national_ADJ government_NOUN is_AUX Rome_PROPN,1
Are_AUX all_PRON women_NOUN women_NOUN,Yes_INTJ all_PUNCT women_DET are_NOUN women_AUX | No_INTJ not_PUNCT all_PART women_DET are_NOUN women_AUX | No_INTJ only_PUNCT some_ADV are_PRON women_AUX,0
With_ADP white_ADJ black_PUNCT kit_ADJ this_NOUN historic_PUNCT Spanish_DET football_ADJ club_ADJ was_NOUN one_NOUN of_AUX the_NUM founders_ADP of_DET La_NOUN Liga_ADP Its_PROPN name_PROPN is_PUNCT Real_PRON what_NOUN,Its_PRON name_NOUN is_AUX Real_ADJ Sociedad_PROPN | Real_PROPN Madrid_PROPN | Real_ADJ Sociedad_PROPN | Its_PRON name_NOUN is_AUX Real_PROPN Betis_PROPN | Sociedad_PROPN | Madrid_PROPN | Its_PRON name_NOUN is_AUX Real_PROPN Madrid_PROPN | Union_PROPN,7
What_PRON happens_VERB if_SCONJ you_PRON disturb_VERB the_DET mummy_NOUN of_ADP a_DET pharaoh_NOUN,You_PRON will_AUX be_AUX cursed_VERB if_SCONJ you_PRON disturb_VERB the_DET mummy_NOUN of_ADP a_DET pharaoh_NOUN | You_PRON will_AUX die_VERB if_SCONJ you_PRON disturb_VERB the_DET mummy_NOUN of_ADP a_DET pharaoh_NOUN | You_PRON may_AUX damage_VERB the_DET mummy_PROPN | You_PRON will_AUX cause_VERB a_DET series_NOUN of_ADP deaths_NOUN if_SCONJ you_PRON disturb_VERB the_DET mummy_NOUN of_ADP a_DET pharaoh_NOUN,2
What_PRON are_AUX examples_NOUN of_ADP films_NOUN that_PRON remain_AUX banned_VERB by_ADP British_ADJ censors_NOUN,Faces_NOUN of_ADP Death_PROPN remains_AUX banned_VERB in_ADP Britain_PROPN | Antichrist_NOUN remains_AUX banned_VERB in_ADP Britain_PROPN | The_DET film_NOUN Mikey_PROPN remains_AUX banned_VERB in_ADP Britain_PROPN | The_DET film_NOUN A_NOUN Clockwork_NOUN Orange_PROPN remains_AUX banned_VERB in_ADP Britain_PROPN | The_DET film_NOUN The_DET Exorcist_NOUN remains_AUX banned_VERB in_ADP Britain_PROPN | The_DET film_NOUN Texas_PROPN Chainsaw_PROPN Massacre_PROPN remains_AUX banned_VERB in_ADP Britain_PROPN | The_DET Exorcist_PROPN remains_AUX banned_VERB in_ADP Britain_PROPN Texas_PUNCT Chainsaw_PROPN Massacre_PROPN | Cannibal_PROPN Holocaust_PROPN,2
Does_AUX someone_PRON share_VERB more_ADJ genes_NOUN with_ADP their_PRON siblings_NOUN or_CCONJ parents_NOUN,Parents_NOUN | Someone_PRON shares_VERB the_DET same_ADJ percentage_NOUN of_ADP genes_NOUN with_ADP their_PRON siblings_NOUN and_CCONJ parents_NOUN | Someone_PRON shares_VERB more_ADJ genes_NOUN with_ADP their_PRON siblings_NOUN than_ADP parents_NOUN | Siblings_NOUN | The_DET average_ADJ number_NOUN of_ADP genes_NOUN you_PRON share_VERB with_ADP siblings_NOUN is_AUX greater_ADJ | Someone_PRON shares_VERB more_ADJ genes_NOUN with_ADP their_PRON parents_NOUN than_ADP siblings_NOUN,1
Why_SCONJ should_AUX n't_PART you_PRON sit_VERB close_ADV to_ADP the_DET television_NOUN,You_PRON should_AUX n't_PART sit_VERB close_ADV to_ADP the_DET television_NOUN because_SCONJ it_PRON can_AUX cause_VERB cataracts_NOUN | You_PRON should_AUX n't_PART sit_VERB close_ADV to_ADP the_DET television_NOUN because_SCONJ it_PRON can_AUX permanently_ADV damage_VERB your_PRON eyes_NOUN | You_PRON should_AUX n't_PART sit_VERB close_ADV to_ADP the_DET television_NOUN because_SCONJ it_PRON can_AUX cause_VERB temporary_ADJ eyestrain_NOUN | You_PRON should_AUX n't_PART sit_VERB close_ADV to_ADP the_DET television_NOUN because_SCONJ it_PRON can_AUX cause_VERB nearsightedness_NOUN | You_PRON should_AUX n't_PART sit_VERB close_ADV to_ADP the_DET television_NOUN because_SCONJ it_PRON can_AUX cause_VERB blindness_NOUN | You_PRON should_AUX n't_PART sit_VERB close_ADV to_ADP the_DET television_NOUN because_SCONJ televisions_NOUN emit_VERB dangerous_ADJ radiation_NOUN,2
How_SCONJ did_AUX artists_NOUN in_ADP the_DET 1960s_NOUN get_VERB to_PART be_AUX so_ADV creative_ADJ and_CCONJ original_ADJ,Artists_NOUN in_ADP the_DET 1960s_NOUN become_VERB creative_ADJ and_CCONJ original_ADJ by_ADP going_VERB to_ADP Burning_PROPN Man_PROPN | Artists_NOUN in_ADP the_DET 1960s_NOUN become_VERB creative_ADJ and_CCONJ original_ADJ by_ADP taking_VERB LSD_PROPN | Artists_NOUN in_ADP the_DET 1960s_NOUN become_VERB creative_ADJ and_CCONJ original_ADJ by_ADP taking_VERB drugs_NOUN | Artists_NOUN in_ADP the_DET 1960s_NOUN become_VERB creative_ADJ and_CCONJ original_ADJ by_ADP taking_VERB shrooms_NOUN | Artists_NOUN in_ADP the_DET 1960s_NUM followed_VERB different_ADJ paths_NOUN to_PART become_VERB creative_ADJ and_CCONJ original_ADJ | Artists_NOUN in_ADP the_DET 1960s_NOUN become_VERB creative_ADJ and_CCONJ original_ADJ by_ADP taking_VERB speed_NOUN,4
What_PRON are_AUX the_DET effects_NOUN of_ADP a_DET circle_NOUN of_ADP salt_NOUN,A_DET circle_NOUN of_ADP salt_NOUN has_VERB no_DET particular_ADJ effects_NOUN | A_DET circle_NOUN of_ADP salt_NOUN can_AUX be_AUX used_VERB to_PART control_VERB anyone_PRON inside_ADP the_DET circle_NOUN | A_DET circle_NOUN of_ADP salt_NOUN is_AUX used_VERB to_PART ward_VERB against_ADP demons_NOUN | A_DET circle_NOUN of_ADP salt_NOUN creates_VERB a_DET barrier_NOUN against_ADP dark_ADJ forces_NOUN | A_DET circle_NOUN of_ADP salt_NOUN forces_NOUN anything_PRON inside_ADV to_PART obey_VERB orders_NOUN | A_DET circle_NOUN of_ADP salt_NOUN protects_VERB anyone_PRON inside_ADV from_ADP evil_ADJ spirits_NOUN,0
Who_PRON won_VERB the_DET 2032_NUM U.S._PROPN presidential_ADJ election_NOUN,I_PRON have_VERB no_DET comment_NOUN | George_PROPN H._PROPN W._PROPN Bush_PROPN won_VERB the_DET 2032_NUM presidential_ADJ election_NOUN | Hillary_PROPN Clinton_PROPN won_VERB the_DET 2032_NUM presidential_ADJ election_NOUN | Mitt_PROPN Romney_PROPN won_VERB the_DET 2032_NUM presidential_ADJ election_NOUN | John_PROPN McCain_PROPN won_VERB the_DET 2032_NUM U.S._PROPN presidential_ADJ election_NOUN | Joe_PROPN Biden_PROPN won_VERB the_DET 2032_NUM presidential_ADJ election_NOUN | Donald_PROPN Trump_PROPN won_VERB the_DET 2032_NUM U.S._PROPN presidential_ADJ election_NOUN | Barack_PROPN Obama_PROPN won_VERB the_DET 2032_NUM presidential_ADJ election_NOUN,0
Where_SCONJ is_AUX it_PRON humid_ADJ every_DET single_ADJ day_NOUN,There_PRON is_VERB no_DET place_NOUN that_PRON is_AUX humid_ADJ every_DET single_ADJ day_NOUN | It_PRON is_AUX always_ADV humid_ADJ in_ADP Hong_PROPN Kong_PROPN | It_PRON is_AUX always_ADV humid_ADJ in_ADP Beijing_PROPN | It_PRON is_AUX always_ADV humid_ADJ in_ADP rainforests_NOUN | It_PRON is_AUX always_ADV humid_ADJ in_ADP Alaska_PROPN | It_PRON is_AUX always_ADV humid_ADJ in_ADP Scotland_PROPN | It_PRON is_AUX always_ADV humid_ADJ in_ADP Arizona_PROPN | It_PRON is_AUX always_ADV humid_ADJ in_ADP Los_PROPN Angeles_PROPN,0
Which_DET countries_NOUN have_VERB less_ADJ guns_NOUN per_ADP capita_NOUN than_ADP Australia_PROPN,The_DET United_PROPN Kingdom_PROPN has_VERB less_ADJ guns_NOUN per_ADP capita_NOUN than_ADP Australia_PROPN | The_DET US_PROPN | America_PROPN | The_DET United_PROPN States_PROPN has_VERB less_ADJ guns_NOUN per_ADP capita_NOUN than_ADP Australia_PROPN | Canada_PROPN has_VERB less_ADJ guns_NOUN per_ADP capita_NOUN than_ADP Australia_PROPN | The_DET United_PROPN States_PROPN,0
